"StandID","DWVol_m3perHa_T2_SpruceConif","MeanDecaySwe_T2","MeanDbasal_T2","AgeT2","SprucevolMax100m_2013_m3ha","conn_20km_a2_stand_2009","conn_20km_a1_stand_2009","conn_20km_a02_stand_2009","conn_20km_a01_stand_2009","PrecSum","Temp"
290,0.410730514533391,2,10.75,18,22,204.918244409537,1208.0341231283,40749.9796938226,112570.713483688,462.44814,2.71533
293,2.60140475342729,2.25,10.3875,18,32,1273.18305633137,3755.43144977485,50280.8651375987,126121.720778479,435.35916,2.71125
295,1.42198812074405,1.82608695652174,6.97826086956522,19,45,439.508495559045,2617.00631594475,108098.432730904,293216.359760358,498.82645,1.61558
297,2.20577041358468,2.94444444444444,11.0722222222222,19,48,578.331067771958,2209.25114701169,53130.4494390509,138677.326109576,445.80005,2.54734
299,2.817585817871,2.71052631578947,8.07631578947368,18,31,750.915360936865,2417.37338341351,35323.2426726883,86611.4224897199,430.06094,2.30508
301,0.844961614737189,2.07692307692308,8.61538461538461,18,28,116.983776460152,902.229500854793,40733.2236044525,109704.113058687,465.47962,2.20411
302,0.887850853949711,3,7.65714285714286,18,63,270.731353554691,990.875660687553,20065.9789273863,54708.8911341608,429.85989,2.9449
304,0.913137856873979,2.08333333333333,7.83333333333333,18,41,2759.87993216869,6497.44729785601,54830.2200075849,124418.320101699,479.67115,1.75457
305,9.90323638836201,2.39130434782609,13.2652173913043,18,39,1197.2116631718,4619.54851046338,54709.2694452225,120078.405507622,481.20068,1.62663
306,4.61998349510846,2.28571428571429,11.0357142857143,18,24,1832.20189761397,5449.55670807788,56389.8957914433,140045.567649784,476.9185,2.07157
307,3.09290271921833,1.47058823529412,9.26470588235294,18,86,580.461480830487,1953.35767191231,39109.6358172177,108338.741560427,463.26275,2.61105
308,0.761282740376185,2.1,8.04,18,19,966.803817428775,4860.45653435256,118263.743690926,287231.028699782,502.0683,1.54633
310,0.924806337400495,2.64705882352941,8.58823529411765,18,43,1075.82630387093,3280.008729848,64775.2940744352,180643.81749714,478.32423,1.86764
311,0.606017945262659,2.71428571428571,7.27142857142857,18,26,484.983621927659,2429.3227110453,55356.1082901708,154883.098798459,481.17563,1.87238
400,2.00184551922529,2,9.50833333333333,10,285,64.2008632090203,307.393262443361,9864.18695232683,29580.8938224923,417.71472,5.1033
402,0.544126610926354,1.66666666666667,8.53333333333333,10,47,105.093051372052,375.608128985267,10098.9744458328,30016.0672981448,417.71472,5.1033
404,5.38311729520101,2.22727272727273,8.89090909090909,10,355,187.842797544355,722.103811619426,15565.7229057944,38950.4317787299,425.97632,5.15381
406,5.04562783172931,0.17741935483871,7.75322580645161,10,171,626.41696513833,1721.755831454,17818.7122088212,39309.0245963175,423.36492,5.10379
417,3.71022097936937,1.23214285714286,8.48571428571429,10,152,211.862320229642,1064.13546643062,17969.6111958444,43799.6337859115,403.64989,4.82614
430,1.08553429638112,1.81818181818182,9.26363636363636,10,71,534.212883264634,1923.2568228576,42343.2781381023,108425.642786196,424.7453,4.02192
431,0.898583633058033,2,6.5,10,166,157.333433332552,820.548768101291,25773.5210631104,72359.8116472256,432.12017,3.89939
432,0.336773100131582,2,6.88333333333333,10,218,926.984461176846,2393.48735787627,26912.0529392889,70786.1047747757,432.86535,3.78142
433,20.7657678203747,1.13414634146341,10.1060975609756,10,80,413.813220160097,1038.97310403684,20353.4397006478,56153.7301722684,426.11727,3.85416
434,10.8808457258568,1.15492957746479,10.2535211267606,10,206,380.024357100112,1696.90068956656,35186.9158441886,85181.83015859,441.7195,3.6048
435,1.51218751530081,1.66666666666667,7.61666666666667,10,184,97.4071261828627,642.818524943886,24294.4032956171,68830.9857097134,435.50341,3.71846
436,4.23797144155303,2,11.1297297297297,10,310,273.132262457164,1243.78484233023,30595.3113426578,80530.1516917642,431.53918,4.05037
438,1.35545842074983,2,7.53157894736842,10,67,399.941139598184,1298.1914086054,21428.4467215197,51160.8898596667,417.81116,4.11743
439,4.97319851635553,2,8.35151515151515,10,88,177.413822043557,718.685256416469,18970.4269898884,57565.4141690431,430.91619,4.22564
441,3.42474064483089,2,13.63,10,73,1086.35676693842,3599.31715954882,49192.7594550533,119659.179730638,455.02383,3.36789
445,1.09457428480219,2,11.4,10,238,264.650015420599,975.066455343845,28183.1062129944,74481.3666635045,457.32306,3.15751
456,0.512923285365068,1.6,8.66,10,154,124.554955785589,825.448993418975,25352.8842146896,66492.1358415767,466.98091,3.05901
466,1.51402266780516,1.97368421052632,7.5078947368421,10,15,540.518700624169,2002.45754258965,51270.0920133741,140893.115607879,458.42813,2.08143
