"StandID","amyllapp_T1","antrseri_T1","fomipini_T1","fomirose_T1","gloesepi_T1","phelferr_T1","phelnigr_T1","phelviti_T1","phlecent_T1","tricabie_T1","amyllapp_T2","antrseri_T2","fomipini_T2","fomirose_T2","gloesepi_T2","phelferr_T2","phelnigr_T2","phelviti_T2","phlecent_T2","tricabie_T2"
534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
535,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
537,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1
542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
543,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1
544,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
548,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
551,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
553,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
555,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
557,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
558,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
