"StandID","DWVol_m3perHa_T2_SpruceConif","MeanDecaySwe_T2","MeanDbasal_T2","AgeT2","SprucevolMax100m_2013_m3ha","conn_20km_a2_stand_2009","conn_20km_a1_stand_2009","conn_20km_a02_stand_2009","conn_20km_a01_stand_2009","PrecSum","Temp","LocalConn_amyllapp","LocalConn_antrseri","LocalConn_fomipini","LocalConn_fomirose","LocalConn_gloesepi","LocalConn_phelferr","LocalConn_phelnigr","LocalConn_phelviti","LocalConn_phlecent","LocalConn_tricabie"
112,57.6208960323863,1.38461538461538,28.4076923076923,115,306,370.156622016285,1463.96670984787,18738.6528209312,41297.4367390163,432.28464,5.27497,0,0,1,0,0,0,0,0,0,1
113,8.77546444475568,1.5,18.3,71,154,85.8629622658585,315.583777792869,10759.1390184607,31555.3872529207,417.71472,5.1033,0,0,0,0,0,0,0,0,0,0
114,4.82364645266593,2.75,19.4,104,97,111.617954614823,516.486955725847,15070.9750931432,38723.5259347233,435.18259,5.29688,0,1,1,0,1,0,0,0,0,1
116,45.8366214327888,1.85,22.705,85,152,559.502790169171,1982.58695006951,19499.9382411213,41854.9567560496,432.28464,5.27497,0,0,0,0,0,0,0,0,0,0
117,22.1246941070978,2.33333333333333,23.2666666666667,116,272,75.373361128067,408.470331157181,12960.8706418722,37414.1496184671,432.69257,4.9166,0,0,1,0,0,0,0,0,0,1
118,3.40626208173335,2.5,18.15,74,12,48.4739945812711,217.42226116743,13127.9691627247,38796.8580783494,409.93761,4.55169,0,0,0,0,0,0,0,0,0,0
121,32.8327597005222,2.16666666666667,23.975,126,220,239.273212471212,825.170902095576,13286.8447993657,34927.5701568928,404.90533,4.49181,0,0,0,0,0,0,0,0,0,0
122,4.93664443876403,3,18.9666666666667,91,208,244.574057505192,1165.57343024823,17808.8570481576,41648.9711788549,408.77269,4.54312,0,0,0,0,0,0,0,0,0,0
124,10.2457794795133,1.72727272727273,16.1363636363636,90,258,296.389378773508,865.948045995067,15479.3435776654,40054.6675120594,404.90533,4.49181,0,0,1,0,0,0,0,0,0,0
125,5.09011206050634,2,32.3,124,123,228.891871729433,876.961650835664,24137.0817776151,64239.6106160639,428.77368,4.36108,0,1,1,0,0,1,0,0,0,1
126,4.39512082218259,2,13.1,100,246,263.506712142495,832.638449357263,15902.9947025438,40773.7756679676,403.64989,4.82614,0,0,0,0,0,0,0,0,0,1
131,11.5561179151411,2.4,22.44,94,230,1091.4626671128,4440.45281717742,65826.6497468222,151944.54358049,457.45335,3.7799,0,1,0,0,0,0,1,0,0,1
132,6.30128851843465,1.91666666666667,18.9333333333333,74,92,459.588725208525,1760.44981676039,40489.8333869521,108837.931414963,423.68511,3.90296,0,0,0,0,0,0,0,0,0,0
133,2.28144668532389,4,17.65,94,276,674.111255107392,2691.51021812156,55681.5127667396,137122.172208328,448.51056,3.66116,0,1,1,0,0,0,0,0,0,1
135,10.0212162961122,1.2,17.48,84,220,753.890175165604,3904.1765408153,75463.7860457947,173962.164115062,457.45335,3.7799,0,1,1,0,0,0,0,1,0,0
136,43.8801247950489,1.63636363636364,29.3636363636364,100,51,296.299502837867,1800.04643987468,32511.5425913184,85660.47519855,451.2348,3.91155,0,0,0,0,0,0,0,0,0,1
137,1.64930699966963,2.6,15.12,94,257,312.678776363314,1091.30546682619,25517.1618319507,67350.0244462532,438.25114,3.58493,0,1,1,0,0,0,0,0,0,1
139,12.4126796803921,3.18181818181818,18.2454545454545,102,129,228.640184991179,1023.60670087801,18757.7302043498,47257.6189923791,421.96653,3.91821,0,0,1,0,0,0,0,0,0,1
143,11.9195276530266,2.07142857142857,15.1357142857143,83,282,218.444708726646,756.307917748097,19382.3797225354,56798.6944190701,430.94454,3.91753,0,1,1,0,0,0,0,0,0,1
144,8.01557723922601,2,18.72,113,271,145.275204021126,659.051586909206,21822.9221970635,59815.0249794474,419.19331,4.00869,0,1,1,0,1,0,0,0,0,1
146,38.577626774071,2.6,27.75,99,136,384.962020304822,1035.429082273,20284.9529051223,56384.6377510814,426.11727,3.85416,0,0,1,0,0,0,0,1,0,1
147,21.0288397457432,1.91666666666667,20.3666666666667,96,320,396.494472900089,1604.88507207486,27632.8478558141,66338.0202063865,427.87676,3.34919,0,0,1,0,0,0,0,0,0,1
148,5.65731467241029,3,24.8,94,197,377.664693517349,1944.35422746798,40614.9934909237,99138.2566642838,456.27187,3.09486,0,0,0,0,0,0,0,0,0,1
150,45.3806689376896,1.19354838709677,21.7322580645161,115,21,488.081831496575,2315.14126314071,49005.7974306232,122297.766856024,420.47134,3.18056,0,0,1,0,0,0,0,0,0,1
151,0.0688879839716558,3,10,118,209,463.940261408744,1819.47887944515,42134.835654625,107324.125915405,411.20924,3.24064,0,0,0,0,0,0,0,0,0,0
154,1.33439588067094,2,17.3,99,10,303.373305087258,1025.89905662899,28213.0125433782,74694.4297482196,457.32306,3.15751,0,0,1,0,0,0,0,0,0,0
157,5.14027429893703,2,15.0111111111111,113,62,470.008011807278,1924.45242079772,43428.6738889024,102843.105707315,453.49423,2.68316,0,0,1,0,1,0,0,0,0,0
158,1.9003378803985,1.5,13.65,111,122,264.466520633004,1252.621969381,36159.1105203564,91296.9114719219,456.46768,2.85004,0,0,1,0,0,0,0,0,0,1
160,11.7118662472177,1.90909090909091,17.6090909090909,91,181,281.826154220416,893.038165577728,19134.6166980308,53522.2850722982,428.56268,3.18343,0,1,0,0,0,0,0,0,0,0
164,7.4523858893216,2.2,16.38,113,302,740.905398738954,2678.73530750483,60436.7545899569,144657.696151374,463.97938,2.70927,0,0,1,0,0,0,0,0,0,0
166,0.482352908308537,2,13.3,79,111,259.276491008737,1055.11041987219,21109.3190514039,55111.6666677225,466.66739,3.17991,0,0,0,0,0,0,0,0,0,0
168,37.1791658695024,1,20.8631578947368,105,65,888.728680936383,3268.92053423306,60891.4968047979,145362.109312353,438.19488,2.57648,0,0,1,0,0,0,0,0,0,1
171,88.2528771073936,1.8695652173913,28.7391304347826,105,94,679.866459897054,2687.96784513927,53483.6046365363,130532.364043919,431.4379,2.71277,0,0,0,0,0,0,0,0,0,0
175,6.8327182880167,1.83333333333333,18.0833333333333,89,364,424.783197822783,1670.7546325716,32406.3550110105,80864.6332261061,426.20455,2.80479,0,0,1,1,1,1,0,0,0,1
312,2.35880174985871,2.4,16.46,117,340,135.88718801006,750.612113780251,19358.0011118639,48217.0777766175,453.74471,5.47636,0,0,0,0,0,0,0,0,0,1
314,25.3100065725647,2,22.4428571428571,135,193,64.1832010842719,395.146179469995,14095.0922210872,38283.5662249113,478.48495,5.68004,0,0,0,0,0,0,0,0,0,0
315,29.3886870482762,2.2,19.06,88,263,71.2745435114056,453.737970794637,13398.8179029759,35400.8161280208,438.6107,5.36689,0,0,1,0,0,0,0,0,0,1
318,21.8119047178669,2.1,16.96,116,64,66.7810773191062,438.687665764806,15270.5540916361,39248.2301741781,425.97632,5.15381,0,1,1,0,0,0,0,0,0,1
321,6.34037268957867,3,24.65,67,190,92.3650211651263,573.682140722361,12686.0698319509,29052.7211681505,422.20792,5.18654,0,1,0,0,0,0,0,0,0,0
322,0.590762917664319,2,27,113,158,179.533923892313,835.42382439355,21663.6884443563,63107.9706583263,448.63141,4.42932,0,0,0,0,0,0,0,0,0,0
324,1.83633372432943,1.66666666666667,15.3,106,202,560.90706069978,1972.45355488011,43886.9890156559,117026.420163456,439.75252,4.2421,0,0,1,0,0,0,0,0,0,1
326,1.80627199458736,2,20.8,64,199,429.078276111991,937.936373525132,13682.2965524178,36140.5001406191,404.90533,4.49181,0,1,1,0,0,0,0,0,0,1
